TIME,Shooter Actual RPM,Right Intern Moter Current,Drivetrain Left Wheel Actual Speed,Battery Voltage,Distance Sensor Raw Voltage,Hopper Spark Left Current,roboRIO JVM Memory Load,Climber Lower Limit Switch,Color Sensor Blue Intensity,Shooter Desired RPM,Driver FwdRev Command,Drivetrain Left Wheel Desired Speed,Rotate to Color,Color Needed,Shooter State Command,Raspberry Pi Duration,Right Climber Current,Pneumatics Compressor Current,Hopper Spark Left Cmd,Raspberry Pi Angle,Climber Input Command,Raspberry Pi Stable Target,Hopper Spark Right Cmd,Driver Snail Mode Command,Main Loop Process Duration,Left Climber Current,botDesPoseY,roboRIO CPU Load,botDesPoseX,Distance Sensor Available,botDesPoseT,Left Intern Moter Current,Intake Motor Current,Pneumatics Main System Pressure,Drivetrain Heading Correction Command,Left Master Moter Current,Pneumatics Cutoff Switch State,Drivetrain Right Motor Output Duty Cycle,Raspberry Pi Framerate,Color Sensor Match Color,Color Sensor Red Intensity,Panel 3.25 spin,Hopper Spark Right Current,Dataserver File Logger Queue Length,Drivetrain Right Wheel Desired Speed,Driver Auto Align Command,DT_Pose_Angle,Intake Speed State,Main Loop Call Period,Shooter Motor 1 Current,Shooter Motor 2 Current,Color Sensor Green Intensity,roboRIO Sys Memory Load,Robot CAN Bus Utilization,Right Master Moter Current,Distance Sensor Distance,Climber Motor Command,Photon Cannon State,Robot Brownout,Dataserver Stored Samples,Shooter Under Load,Drivetrain Right Wheel Actual Speed,botActPoseT,Raspberry Pi Visible Target,botActPoseX,botActPoseY,Intake Position State,Battery Current Draw,Drivetrain Left Motor output Duty Cycle,Shooter Control Mode,Driver Rotate Command,Climber Upper Limit Switch,
sec,RPM,Amps,RPM,V,V,Amp,Pct,boolean,intensity,RPM,cmd,RPM,degrees,Color,state,sec,Amp,A,Cmd,deg,cmd,boolean,Cmd,bool,sec,Amp,ft,Pct,ft,bool,deg,Amps,A,psi,RPM,Amps,bool,pct,fps,color,intensity,degrees,Amp,count,RPM,bool,deg,state,sec,A,A,intensity,Pct,pct,Amps,in,cmd,bool,bool,count,boolean,RPM,deg,boolean,ft,ft,state,A,pct,state,cmd,boolean,
408.2176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
408.217305,,0.0,5.142857551574707,11.600000000000001,,,,-1.0,0.18994140625,,,27.45422768335193,0.0,-1.0,,0.051412105560302734,,,,18.14728362698518,0.0,1.0,,,0.004115000000012969,0.0,,,,,,0.0,,,0.0,0.0,,0.04986724629998207,6.56871831574859,-1.0,0.344970703125,0.0,,161.0,27.45422768335193,,6.9321673654688345,,,,,0.465087890625,,0.3035956919193268,0.0,,0.0,,0.0,56.0,,4.0,,1.0,,,,0.0,0.055146947503089905,,,-1.0,
408.237424,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,-9.228516599999999,,,0.0,,,,,,,,,,,,0.02011899999996558,,,,,,,,,,,,,,,,,,,,,,,,
408.237686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
408.237424,,0.34375,7.428572177886963,11.55,,,,-1.0,0.18994140625,,,29.84155182973032,0.0,-1.0,,0.05039715766906738,,,,18.17371726716024,0.0,1.0,,,0.004101000000048316,0.0,,,,,,0.46875,,,0.0,6.5,,0.055146947503089905,6.516061377657153,-1.0,0.344970703125,0.0,,202.0,29.84155182973032,,6.9321673654688345,,,,,0.465087890625,,0.34278467297554016,0.375,,0.0,,0.0,60.0,,6.857142925262451,,1.0,,,,0.0,0.06039613112807274,,,-1.0,
408.257562,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,-9.182740237500001,,,0.0,,,,,,,,,,,,0.020138000000031298,,,,,,,,,,,,,,,,,,,,,,,,
408.257862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
408.257562,,1.46875,7.428572177886963,11.350000000000001,,,,-1.0,0.18994140625,,,32.22887597610882,0.0,-1.0,,0.05039715766906738,,,,18.17371726716024,0.0,1.0,,,0.011132999999972526,0.0,,,,,,2.125,,,0.0,4.625,,0.06564531475305557,6.516061377657153,-1.0,0.344970703125,0.0,,14.0,32.22887597610882,,6.9321673654688345,,,,,0.465087890625,,0.3168415129184723,7.0,,0.0,,0.0,64.0,,8.0,,1.0,,,,0.0,0.06564531475305557,,,-1.0,
408.277496,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,-9.182740237500001,,,0.0,,,,,,,,,,,,0.019933999999977914,,,,,,,,,,,,,,,,,,,,,,,,
408.277771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
